label,item,condition,red,green,blue,gr_ratio
banana_ripe,banana,ripe,250.497,243.652,217.3111,0.9726743195620133
banana_ripe,banana,ripe,247.3544,239.9725,218.3776,0.9701565811234545
banana_ripe,banana,ripe,246.5263,243.5709,225.9083,0.9880118227223148
banana_ripe,banana,ripe,246.0737,232.4008,197.7771,0.944435748540231
banana_ripe,banana,ripe,243.9956,241.0029,225.8112,0.9877346108383324
banana_ripe,banana,ripe,245.0223,236.6537,207.4705,0.9658455537889997
banana_ripe,banana,ripe,175.3453,168.1686,146.9646,0.9590710389210829
banana_ripe,banana,ripe,248.8304,239.9347,221.55,0.9642499430766902
banana_ripe,banana,ripe,208.4558,209.7858,198.6626,1.0063802446063854
banana_ripe,banana,ripe,166.4067,160.2764,142.2476,0.963160732331326
banana_ripe,banana,ripe,175.5173,168.7118,143.6435,0.9612260389076972
banana_ripe,banana,ripe,229.9247,220.3224,174.2807,0.958237192618987
banana_ripe,banana,ripe,246.8718,242.8486,234.0586,0.9837032784477479
banana_ripe,banana,ripe,249.9639,240.8589,219.4861,0.9635747363376282
banana_ripe,banana,ripe,249.2895,236.6899,194.1791,0.9494579557123025
banana_ripe,banana,ripe,95.7725,103.1126,99.8288,1.0766409869572062
banana_ripe,banana,ripe,176.7334,171.6821,152.3667,0.9714185265975841
banana_ripe,banana,ripe,250.7902,248.6539,232.9267,0.991481720611564
banana_ripe,banana,ripe,168.8495,172.4181,160.4595,1.0211347915088005
banana_ripe,banana,ripe,248.6721,234.5245,205.3941,0.943107405522745
banana_ripe,banana,ripe,102.9786,105.95,98.0156,1.0288545287190298
banana_ripe,banana,ripe,244.3839,236.2918,216.2283,0.9668877492875441
banana_ripe,banana,ripe,249.7071,247.1242,235.4913,0.9896562773359017
banana_ripe,banana,ripe,245.7322,238.6005,217.6198,0.970977751507626
banana_ripe,banana,ripe,214.5401,215.5977,203.9714,1.004929609872795
banana_ripe,banana,ripe,248.4447,243.8616,232.7819,0.981552832555684
banana_ripe,banana,ripe,172.8107,165.9573,141.7091,0.960341570514201
banana_ripe,banana,ripe,247.3378,241.4941,221.3041,0.9763736033215562
banana_ripe,banana,ripe,174.8389,167.575,142.8268,0.9584537482307784
banana_ripe,banana,ripe,249.502,245.5298,233.5518,0.9840794823926081
banana_ripe,banana,ripe,250.5533,244.2528,229.5299,0.9748536500024001
banana_ripe,banana,ripe,208.4601,209.8242,195.7198,1.0065436934619925
banana_ripe,banana,ripe,164.3626,169.7252,160.4982,1.032626637491579
banana_ripe,banana,ripe,174.0756,179.4445,169.9309,1.03084234073677
banana_ripe,banana,ripe,250.3601,241.8758,221.6958,0.9661116089739875
banana_ripe,banana,ripe,248.5437,245.7229,234.2191,0.9886506840098918
banana_ripe,banana,ripe,109.2273,101.2951,77.1696,0.9273789526301671
banana_ripe,banana,ripe,251.332,249.4734,240.3804,0.9926049966076544
banana_ripe,banana,ripe,251.1763,243.2527,219.3788,0.9684540262419105
banana_ripe,banana,ripe,251.278,242.5052,221.4025,0.9650872700153326
banana_ripe,banana,ripe,176.0561,168.2069,144.2182,0.955416478296313
banana_ripe,banana,ripe,105.4464,88.3803,49.9578,0.838153783930473
banana_ripe,banana,ripe,161.1865,138.6067,94.7572,0.8599150619939321
banana_ripe,banana,ripe,250.4628,248.1479,239.1096,0.9907575057423398
banana_ripe,banana,ripe,172.1883,167.7357,150.4143,0.974141094521863
banana_ripe,banana,ripe,251.5245,249.6273,240.871,0.9924571920729106
banana_ripe,banana,ripe,160.3703,166.2885,150.8344,1.0369033353625745
banana_ripe,banana,ripe,162.9427,166.9616,157.5521,1.0246644923358672
banana_ripe,banana,ripe,167.4301,159.935,143.866,0.9552344473590205
banana_ripe,banana,ripe,109.2328,99.3341,75.577,0.9093797750366212
banana_ripe,banana,ripe,212.3757,213.8899,201.5484,1.0071298128405002
banana_ripe,banana,ripe,246.5644,241.7798,229.352,0.9805949237578704
banana_ripe,banana,ripe,169.8218,165.8631,148.5059,0.9766890883462013
banana_ripe,banana,ripe,164.7807,173.66,173.3094,1.053885551803788
banana_ripe,banana,ripe,160.6416,160.1195,108.8015,0.9967499016646378
banana_ripe,banana,ripe,213.2837,214.4859,202.5291,1.0056366191807595
banana_ripe,banana,ripe,168.6244,162.0192,138.9592,0.9608289134856586
banana_ripe,banana,ripe,176.4085,169.4313,144.2982,0.9604486123942518
banana_ripe,banana,ripe,172.6447,176.2454,154.3823,1.0208561223086714
banana_ripe,banana,ripe,172.7842,166.81,145.7164,0.9654239162757711
banana_ripe,banana,ripe,246.1817,242.4037,232.3747,0.9846536075400665
banana_ripe,banana,ripe,245.0246,241.3317,222.1656,0.9849284480622418
banana_ripe,banana,ripe,178.001,169.9867,146.2734,0.9549760902749082
banana_ripe,banana,ripe,178.1068,183.0988,159.6433,1.0280281211720828
banana_ripe,banana,ripe,168.8332,170.255,135.1532,1.0084213234812742
banana_ripe,banana,ripe,242.5334,208.017,95.0763,0.8576839278314495
banana_ripe,banana,ripe,170.755,163.8383,145.0765,0.9594934206348663
banana_ripe,banana,ripe,248.1674,237.0086,204.3056,0.9550351861081062
banana_ripe,banana,ripe,245.0046,240.8225,228.7158,0.9829305205578567
banana_ripe,banana,ripe,242.0876,228.7775,197.4817,0.9450194849095143
banana_ripe,banana,ripe,151.3315,147.7392,123.2772,0.9762620407762955
banana_ripe,banana,ripe,241.1525,206.7387,87.2698,0.8572944470519922
banana_ripe,banana,ripe,172.284,165.8557,149.8432,0.9626877657664801
banana_ripe,banana,ripe,174.1406,168.1964,147.1692,0.9658655077226936
banana_ripe,banana,ripe,246.9424,237.6599,221.0426,0.9624102585768574
banana_ripe,banana,ripe,163.6784,166.2284,121.1978,1.0155793249715335
banana_ripe,banana,ripe,212.6525,214.6912,206.7461,1.0095869975213694
banana_ripe,banana,ripe,167.9895,171.7671,151.654,1.0224871136440843
banana_ripe,banana,ripe,165.3801,168.8288,160.2269,1.0208531678185395
banana_ripe,banana,ripe,252.1333,246.5007,229.1303,0.9776602258501348
banana_rotten,banana,rotten,163.2154,157.2738,147.914,0.9635965664784294
banana_rotten,banana,rotten,165.5773,157.8042,144.6251,0.9530545494276417
banana_rotten,banana,rotten,169.7945,163.1973,149.3101,0.9611459678544008
banana_rotten,banana,rotten,126.5379,103.4342,56.814,0.8174167516813797
banana_rotten,banana,rotten,170.1566,164.8635,154.2634,0.9688927671986113
banana_rotten,banana,rotten,241.8918,241.1816,239.4081,0.9970639724163285
banana_rotten,banana,rotten,177.7832,165.2095,141.5838,0.9292750893826015
banana_rotten,banana,rotten,168.9503,163.1644,147.6478,0.9657538283995126
banana_rotten,banana,rotten,204.5781,201.3505,195.029,0.9842231353980552
banana_rotten,banana,rotten,140.0249,127.8526,114.3723,0.9130704545186573
banana_rotten,banana,rotten,174.1142,168.7119,158.7443,0.9689726572044517
banana_rotten,banana,rotten,181.7288,183.2913,174.2323,1.0085979712153605
banana_rotten,banana,rotten,217.0909,211.4091,206.6081,0.9738275488570568
banana_rotten,banana,rotten,243.2824,236.0716,221.2019,0.9703603673329416
banana_rotten,banana,rotten,163.4795,166.4842,148.0265,1.018379668286362
banana_rotten,banana,rotten,221.0178,212.0175,200.0858,0.9592779361694944
banana_rotten,banana,rotten,119.3832,78.2669,90.5188,0.6555939139209377
banana_rotten,banana,rotten,173.4437,168.795,159.8186,0.9731976371975595
banana_rotten,banana,rotten,176.8896,168.826,153.7658,0.9544144994707744
banana_rotten,banana,rotten,186.7139,180.7871,166.5674,0.9682573125607826
banana_rotten,banana,rotten,216.7975,206.8784,195.2399,0.9542471617327359
banana_rotten,banana,rotten,189.1471,183.058,177.0437,0.9678075901358911
banana_rotten,banana,rotten,220.5479,215.3749,204.1315,0.9765447733732909
banana_rotten,banana,rotten,187.3319,180.0166,163.8464,0.9609500519615184
banana_rotten,banana,rotten,171.379,166.9162,158.0111,0.9739594642636528
banana_rotten,banana,rotten,161.7283,158.7153,150.9117,0.9813699829815192
banana_rotten,banana,rotten,170.1816,164.6843,155.9369,0.9676974422164474
banana_rotten,banana,rotten,173.2296,165.6594,150.5659,0.9562996107114511
banana_rotten,banana,rotten,170.202,164.9055,155.1773,0.9688810885366735
banana_rotten,banana,rotten,224.218,217.7302,209.1594,0.9710647629937617
banana_rotten,banana,rotten,171.7531,166.1044,155.7244,0.9671115050202209
banana_rotten,banana,rotten,183.974,179.857,167.5655,0.9776218325544815
banana_rotten,banana,rotten,227.9687,218.0786,208.7786,0.9566164084954802
banana_rotten,banana,rotten,174.9456,169.4812,157.5897,0.9687651420283496
banana_rotten,banana,rotten,166.4733,159.9543,151.425,0.9608405614543559
banana_rotten,banana,rotten,169.7667,165.2719,157.6224,0.9735236593894818
banana_rotten,banana,rotten,123.4531,94.2767,133.4261,0.763664089733963
banana_rotten,banana,rotten,239.2092,239.0144,238.5313,0.999185645873212
banana_rotten,banana,rotten,171.4692,167.8617,159.607,0.9789612304777697
banana_rotten,banana,rotten,120.2241,102.8523,75.6363,0.8555048375866
banana_rotten,banana,rotten,178.9576,174.087,160.4794,0.9727834918842032
banana_rotten,banana,rotten,162.0731,156.2373,147.7072,0.963992784959424
banana_rotten,banana,rotten,172.3705,166.1621,155.0553,0.9639822303469433
banana_rotten,banana,rotten,169.8739,165.7878,157.4338,0.9759462696980157
banana_rotten,banana,rotten,172.9762,166.5427,152.0988,0.9628070164403715
banana_rotten,banana,rotten,208.7484,201.9026,183.6487,0.967205492510575
banana_rotten,banana,rotten,188.0231,187.5199,182.274,0.9973237277902358
banana_rotten,banana,rotten,172.8382,166.1622,152.7176,0.961374273966205
banana_rotten,banana,rotten,237.2415,235.7694,233.5297,0.993794926293271
banana_rotten,banana,rotten,176.6967,169.8897,167.0331,0.9614763548981031
banana_rotten,banana,rotten,190.4854,191.0661,183.0908,1.0030485223379402
banana_rotten,banana,rotten,240.3078,240.1049,239.6153,0.9991556620336266
banana_rotten,banana,rotten,215.5277,211.0561,200.8148,0.9792527782774427
banana_rotten,banana,rotten,190.4269,191.7255,181.9082,1.0068194094068674
banana_rotten,banana,rotten,170.7256,168.1662,159.9615,0.9850086865413935
banana_rotten,banana,rotten,154.0569,157.1685,146.3508,1.0201977255144188
banana_rotten,banana,rotten,192.4659,189.6407,184.9536,0.9853210309705718
banana_rotten,banana,rotten,192.0868,182.6387,156.799,0.9508133773335108
banana_rotten,banana,rotten,177.38,171.4409,159.9771,0.9665176402834725
banana_rotten,banana,rotten,175.9038,170.801,154.6468,0.9709909565854122
banana_rotten,banana,rotten,218.2367,212.7798,210.309,0.9749954935398331
banana_rotten,banana,rotten,169.3741,148.5804,98.0611,0.8772321100024614
banana_rotten,banana,rotten,182.1815,177.7375,166.9881,0.9756067384690174
banana_rotten,banana,rotten,173.9956,168.6249,157.4636,0.9691331219345023
banana_rotten,banana,rotten,125.3414,88.2897,101.2196,0.7043937541435332
banana_rotten,banana,rotten,213.1929,203.8092,195.6441,0.9559849274718579
banana_rotten,banana,rotten,150.3125,134.0127,100.5348,0.8915605761892019
banana_rotten,banana,rotten,173.2793,167.5524,156.2167,0.9669498839910486
banana_rotten,banana,rotten,197.2871,188.2963,191.1417,0.954427831548906
banana_rotten,banana,rotten,164.034,158.7841,141.3541,0.967995043905562
banana_rotten,banana,rotten,178.081,171.2735,160.1253,0.9617730080032514
banana_rotten,banana,rotten,191.8021,194.3108,183.7652,1.0130796221048695
banana_rotten,banana,rotten,233.3342,225.5874,213.0082,0.9667995477439675
banana_rotten,banana,rotten,246.5528,236.8687,220.4183,0.960721999666108
banana_rotten,banana,rotten,75.0056,58.1342,49.7067,0.7750647848285357
banana_rotten,banana,rotten,137.1069,132.8581,125.6028,0.9690110346816169
banana_rotten,banana,rotten,169.635,164.557,154.4311,0.9700651341405657
banana_rotten,banana,rotten,229.2464,223.4785,216.0609,0.9748397315079332
banana_rotten,banana,rotten,178.8127,171.4768,160.7034,0.9589743851584681
banana_rotten,banana,rotten,177.0967,170.4928,158.1847,0.9627101975208447
banana_unripe,banana,unripe,182.2615,169.0806,116.8165,0.9276813757832489
banana_unripe,banana,unripe,210.7088,198.328,179.4393,0.9412421268535432
banana_unripe,banana,unripe,203.2059,192.0568,171.21,0.9451339702974472
banana_unripe,banana,unripe,213.0441,202.2487,183.5805,0.9493278577096111
banana_unripe,banana,unripe,168.3984,174.2006,150.8398,1.0344551905810555
banana_unripe,banana,unripe,212.5189,215.5243,192.1074,1.0141417962631005
banana_unripe,banana,unripe,108.8334,118.2253,44.9862,1.0862961086734761
banana_unripe,banana,unripe,146.7205,155.9432,117.7459,1.0628589661099916
banana_unripe,banana,unripe,114.0432,111.3277,90.2763,0.9761888391750771
banana_unripe,banana,unripe,205.4964,194.0455,172.1289,0.9442768781142791
banana_unripe,banana,unripe,209.0895,197.797,179.3051,0.9459920228132355
banana_unripe,banana,unripe,158.4843,160.8724,114.9747,1.0150683631434259
banana_unripe,banana,unripe,160.5117,153.3567,91.7164,0.9554238042745556
banana_unripe,banana,unripe,140.0099,153.0069,102.3095,1.0928291421333125
banana_unripe,banana,unripe,215.9121,204.0311,186.9629,0.944972973052585
banana_unripe,banana,unripe,154.6529,162.5137,119.3294,1.0508286553253858
banana_unripe,banana,unripe,208.3062,196.4415,175.2707,0.943042017265727
banana_unripe,banana,unripe,107.4783,108.3808,75.5039,1.0083970344860587
banana_unripe,banana,unripe,153.8499,162.3342,125.8107,1.0551466003218295
banana_unripe,banana,unripe,115.9816,145.0182,75.039,1.2503552179797899
banana_unripe,banana,unripe,169.9921,179.7532,161.7836,1.0574208974568766
banana_unripe,banana,unripe,209.5559,196.9078,179.5687,0.9396433078732533
banana_unripe,banana,unripe,220.1899,232.6519,184.7992,1.0565965965895958
banana_unripe,banana,unripe,212.9308,201.8,181.5152,0.9477257355548107
banana_unripe,banana,unripe,83.2593,120.637,47.7444,1.4489312131025458
banana_unripe,banana,unripe,166.6973,172.7054,140.3304,1.0360419692697964
banana_unripe,banana,unripe,159.1158,168.7802,126.1041,1.0607381475583308
banana_unripe,banana,unripe,217.9686,205.8649,190.8438,0.9444704377397917
banana_unripe,banana,unripe,207.942,196.2784,186.4942,0.9439093548012939
banana_unripe,banana,unripe,210.7969,198.0281,180.1635,0.9394260497216702
banana_unripe,banana,unripe,213.1127,202.4835,182.6165,0.9501240378911063
banana_unripe,banana,unripe,209.0745,197.0721,175.7611,0.9425927076587881
banana_unripe,banana,unripe,211.0227,201.5979,178.7551,0.9553375018169254
banana_unripe,banana,unripe,164.895,172.8924,157.9271,1.048499948157919
banana_unripe,banana,unripe,131.4305,139.2496,114.8168,1.0594922711281454
banana_unripe,banana,unripe,214.0194,203.1334,183.759,0.9491354477718588
banana_unripe,banana,unripe,219.3335,226.1113,209.4312,1.030901795526439
banana_unripe,banana,unripe,210.5737,200.2893,176.0823,0.9511600881251548
banana_unripe,banana,unripe,213.7134,203.1294,184.733,0.9504757261338048
banana_unripe,banana,unripe,131.3379,135.5154,104.4089,1.0318072617895728
banana_unripe,banana,unripe,163.684,171.1233,163.1075,1.0454491517469688
banana_unripe,banana,unripe,200.8697,218.6801,154.7102,1.0886664285919359
banana_unripe,banana,unripe,214.2113,201.8629,188.8686,0.9423541104397662
banana_unripe,banana,unripe,166.8907,187.9521,93.7627,1.1261987568738177
banana_unripe,banana,unripe,211.4103,201.1175,179.7194,0.9513136259145669
banana_unripe,banana,unripe,202.6208,216.1488,188.4551,1.0667651047337434
banana_unripe,banana,unripe,157.518,166.8874,153.4798,1.0594814493614606
banana_unripe,banana,unripe,214.13,200.5491,186.3252,0.936576374461419
banana_unripe,banana,unripe,179.6886,185.0833,161.162,1.0300224887387264
banana_unripe,banana,unripe,188.3284,193.8674,186.2642,1.0294113844252308
banana_unripe,banana,unripe,169.3326,177.4379,141.4853,1.047866145988037
banana_unripe,banana,unripe,208.6333,197.3484,177.8513,0.9459103558928016
banana_unripe,banana,unripe,207.1879,195.3688,176.1867,0.9429546757172852
banana_unripe,banana,unripe,208.1182,218.6762,162.0256,1.0507307815907942
banana_unripe,banana,unripe,175.3288,181.3115,155.4443,1.034122739480777
banana_unripe,banana,unripe,216.2522,204.4654,187.767,0.9454951166023046
banana_unripe,banana,unripe,212.0869,199.4076,182.1157,0.9402164822993948
banana_unripe,banana,unripe,215.5294,218.8295,211.846,1.015311595469984
banana_unripe,banana,unripe,164.6981,174.7694,135.9896,1.061150061469136
banana_unripe,banana,unripe,209.9587,199.109,177.1529,0.9483245945591939
banana_unripe,banana,unripe,93.5964,112.0731,51.3828,1.1974082208566972
banana_unripe,banana,unripe,211.1929,199.7416,177.3692,0.9457780022634378
banana_unripe,banana,unripe,146.5861,110.9144,51.1774,0.7566501819978144
banana_unripe,banana,unripe,212.8234,203.3649,192.4304,0.955557044218084
banana_unripe,banana,unripe,212.7004,202.2059,182.7705,0.9506606430892437
banana_unripe,banana,unripe,209.2053,198.3785,175.0293,0.9482479605045955
banana_unripe,banana,unripe,196.584,204.904,194.597,1.0423228693976982
banana_unripe,banana,unripe,210.3839,198.9659,177.6445,0.9457277817089246
banana_unripe,banana,unripe,167.9961,173.0559,144.6586,1.0301185501918286
banana_unripe,banana,unripe,162.3604,169.8099,161.5836,1.0458824870726946
banana_unripe,banana,unripe,209.4849,199.366,176.5311,0.9516962752365623
banana_unripe,banana,unripe,228.8834,234.5091,204.7368,1.0245788859105602
banana_unripe,banana,unripe,209.5744,202.3247,189.2504,0.9654075069979564
banana_unripe,banana,unripe,187.2872,213.4327,155.6854,1.1396010985288845
banana_unripe,banana,unripe,194.1381,200.5521,162.8556,1.0330383318213254
banana_unripe,banana,unripe,214.1497,201.9543,184.1256,0.943051982127213
banana_unripe,banana,unripe,216.6792,219.5396,214.5061,1.0132010778459535
banana_unripe,banana,unripe,158.5626,166.6971,152.7488,1.0513014982643984
banana_unripe,banana,unripe,210.8887,201.2338,178.2362,0.9542180261236471
banana_unripe,banana,unripe,164.5471,172.2618,161.3215,1.0468844419203716
mango_ripe,mango,ripe,160.6842,125.7068,81.592,0.7823220902719614
mango_ripe,mango,ripe,102.1834,96.4136,91.2823,0.943534850635868
mango_ripe,mango,ripe,169.516,169.0686,145.354,0.997360715228293
mango_ripe,mango,ripe,149.7274,146.0974,136.6548,0.9757559339455842
mango_ripe,mango,ripe,244.4759,237.1196,210.1303,0.9699099135337679
mango_ripe,mango,ripe,121.6859,110.182,107.3797,0.9054623345394797
mango_ripe,mango,ripe,115.4523,105.4859,100.3543,0.9136751635638688
mango_ripe,mango,ripe,96.9088,89.851,82.0595,0.9271706911325835
mango_ripe,mango,ripe,176.4391,163.6107,127.3336,0.927292754682535
mango_ripe,mango,ripe,179.4062,98.2265,70.0918,0.5475089459143053
mango_ripe,mango,ripe,169.4618,160.5132,133.2544,0.9471939932940994
mango_ripe,mango,ripe,246.7511,242.1147,224.075,0.981210211499725
mango_ripe,mango,ripe,120.308,114.3525,110.1851,0.9504978808516651
mango_ripe,mango,ripe,94.655,87.7835,78.1959,0.9274047760033303
mango_ripe,mango,ripe,165.3814,90.2076,74.0327,0.5454519036273008
mango_ripe,mango,ripe,181.0868,176.7709,151.5215,0.9761666726886407
mango_ripe,mango,ripe,179.5907,173.2178,147.403,0.964514304111993
mango_ripe,mango,ripe,115.975,110.9319,107.0554,0.956515620120581
mango_ripe,mango,ripe,179.9687,171.8626,142.532,0.9549582735500212
mango_ripe,mango,ripe,246.0324,243.171,234.8016,0.9883698204449096
mango_ripe,mango,ripe,198.8988,192.3167,165.895,0.9669072866859565
mango_ripe,mango,ripe,183.2434,174.5247,144.2468,0.9524201092513012
mango_ripe,mango,ripe,114.0589,104.5683,88.515,0.9167921055104677
mango_ripe,mango,ripe,245.4014,239.2042,222.552,0.9747466763647368
mango_ripe,mango,ripe,136.381,127.9724,119.2787,0.9383447772171726
mango_ripe,mango,ripe,233.6606,235.259,214.6083,1.0068406868473303
mango_ripe,mango,ripe,239.27,204.1448,143.9302,0.8531984751402245
mango_ripe,mango,ripe,174.4775,166.3091,144.2269,0.953183642858342
mango_ripe,mango,ripe,227.6871,227.3617,208.6371,0.9985708413055864
mango_ripe,mango,ripe,199.0151,182.3983,104.5992,0.9165048234204097
mango_ripe,mango,ripe,155.6158,163.0072,155.7738,1.047497740926707
mango_ripe,mango,ripe,188.8399,185.3174,162.1952,0.9813466275858723
mango_ripe,mango,ripe,174.6678,168.8139,138.237,0.9664855172705815
mango_ripe,mango,ripe,170.1662,95.922,79.128,0.5636959598104914
mango_ripe,mango,ripe,147.4215,148.4477,142.5104,1.0069609859690682
mango_ripe,mango,ripe,171.9503,91.3705,68.5511,0.5313773774667601
mango_ripe,mango,ripe,169.2172,98.7153,81.014,0.58336445359358
mango_ripe,mango,ripe,245.5168,242.4798,231.214,0.9876301703686666
mango_ripe,mango,ripe,164.184,155.8228,121.9597,0.9490742036430213
mango_ripe,mango,ripe,128.227,120.7538,111.8096,0.9417189753973891
mango_ripe,mango,ripe,144.6598,139.9913,130.6178,0.967727724165748
mango_ripe,mango,ripe,52.7557,51.5994,51.3995,0.9780819707049293
mango_ripe,mango,ripe,243.5102,235.8475,217.9845,0.9685323203359353
mango_ripe,mango,ripe,185.8046,180.7461,140.0542,0.9727751574892379
mango_ripe,mango,ripe,147.4085,141.9289,134.8937,0.9628271031668655
mango_ripe,mango,ripe,169.9646,94.0976,75.2289,0.5536305762868823
mango_ripe,mango,ripe,171.1474,95.9068,84.0723,0.5603754391806394
mango_ripe,mango,ripe,140.3706,94.3037,19.021,0.6718194502850352
mango_ripe,mango,ripe,233.0167,226.1752,188.7146,0.9706394392734966
mango_ripe,mango,ripe,112.854,104.6962,98.3599,0.9277136749453837
mango_ripe,mango,ripe,175.2516,169.9726,142.5123,0.9698775875947633
mango_ripe,mango,ripe,242.4263,226.3263,187.5094,0.9335880598202916
mango_ripe,mango,ripe,134.2291,120.9411,109.7506,0.9010050659580892
mango_ripe,mango,ripe,168.9576,160.6066,130.6012,0.950573392670271
mango_ripe,mango,ripe,231.5662,225.2294,205.8081,0.97263503493759
mango_ripe,mango,ripe,123.2991,103.6974,92.3181,0.8410231636644294
mango_ripe,mango,ripe,121.8195,119.5435,111.3327,0.9813166120258529
mango_ripe,mango,ripe,60.8633,57.875,53.8323,0.950901430732454
mango_ripe,mango,ripe,170.2682,90.0134,67.4101,0.5286565516716771
mango_ripe,mango,ripe,240.7374,236.5056,208.9653,0.9824215058299146
mango_ripe,mango,ripe,172.7685,165.7103,137.2862,0.9591464823787527
mango_ripe,mango,ripe,172.3862,171.9809,146.9911,0.997648877940062
mango_ripe,mango,ripe,121.7918,112.4976,108.9382,0.9236877940576641
mango_ripe,mango,ripe,181.0433,173.6951,144.9624,0.95941191439058
mango_ripe,mango,ripe,105.8087,100.2837,95.1434,0.9477831128462677
mango_ripe,mango,ripe,112.0562,104.9864,97.4327,0.936908435794642
mango_ripe,mango,ripe,230.88,230.0024,208.6872,0.9961988868841004
mango_ripe,mango,ripe,120.2891,108.911,102.3549,0.9054103746273737
mango_ripe,mango,ripe,179.1177,173.324,143.0535,0.9676542241908297
mango_ripe,mango,ripe,138.2471,140.4146,133.9435,1.0156784408810136
mango_ripe,mango,ripe,172.7409,89.9581,36.0449,0.5207689636862551
mango_ripe,mango,ripe,179.1308,170.4498,139.5217,0.9515382002897426
mango_ripe,mango,ripe,88.1603,82.3517,74.7514,0.9341131900173525
mango_ripe,mango,ripe,245.1762,238.6798,220.7275,0.9735031337727597
mango_ripe,mango,ripe,178.4628,170.5353,139.8722,0.9555789724492783
mango_ripe,mango,ripe,224.0805,186.4586,110.7841,0.8321054226846806
mango_ripe,mango,ripe,175.0165,172.0678,145.1603,0.9831518686343752
mango_ripe,mango,ripe,175.3143,177.3161,158.3266,1.0114183440174684
mango_ripe,mango,ripe,181.9555,170.3495,140.4705,0.9362151683449241
mango_ripe,mango,ripe,171.1474,95.9068,84.0723,0.5603754391806394
mango_rotten,mango,rotten,121.3294,112.4334,102.9692,0.9266789341521598
mango_rotten,mango,rotten,157.8514,93.4088,72.9668,0.5917514789748366
mango_rotten,mango,rotten,143.6802,138.0796,129.1445,0.9610203705101998
mango_rotten,mango,rotten,133.6243,130.1819,124.5749,0.9742382113564808
mango_rotten,mango,rotten,128.6821,94.3035,52.1573,0.7328408478503161
mango_rotten,mango,rotten,158.1281,121.4279,75.2314,0.7679084187572708
mango_rotten,mango,rotten,195.3226,152.8686,82.204,0.7826467557638145
