label,raw,clean,deleted,elim_pct
paprika_rotten,1082,853,229,21.164510166358593
paprika_unripe,902,792,110,12.195121951219512
paprika_ripe,879,786,93,10.580204778156997
mango_rotten,1134,1022,112,9.876543209876543
tomato_unripe,876,799,77,8.789954337899543
chili_ripe,847,774,73,8.618654073199528
mango_ripe,947,887,60,6.335797254487856
tomato_ripe,1110,1060,50,4.504504504504505
tomato_rotten,784,752,32,4.081632653061225
banana_unripe,1059,1022,37,3.493862134088763
mango_unripe,1126,1090,36,3.197158081705151
orange_unripe,956,927,29,3.0334728033472804
orange_rotten,912,885,27,2.9605263157894735
chili_rotten,800,787,13,1.625
orange_ripe,1178,1166,12,1.0186757215619695
chili_unripe,1179,1168,11,0.9329940627650551
banana_rotten,1201,1195,6,0.4995836802664446
banana_ripe,1203,1202,1,0.0831255195344971
