item,condition,count,source,stage
banana,ripe,1203,fruit,before_cleaning
banana,rotten,1201,fruit,before_cleaning
orange,ripe,1178,fruit,before_cleaning
mango,rotten,1134,fruit,before_cleaning
mango,unripe,1126,fruit,before_cleaning
banana,unripe,1059,fruit,before_cleaning
orange,unripe,956,fruit,before_cleaning
mango,ripe,947,fruit,before_cleaning
orange,rotten,912,fruit,before_cleaning
chili,unripe,1179,vegetable,before_cleaning
tomato,ripe,1110,vegetable,before_cleaning
paprika,rotten,1082,vegetable,before_cleaning
paprika,unripe,902,vegetable,before_cleaning
paprika,ripe,879,vegetable,before_cleaning
tomato,unripe,876,vegetable,before_cleaning
chili,ripe,847,vegetable,before_cleaning
chili,rotten,800,vegetable,before_cleaning
tomato,rotten,784,vegetable,before_cleaning
banana,ripe,1202,fruit,after_cleaning
banana,rotten,1195,fruit,after_cleaning
orange,ripe,1166,fruit,after_cleaning
mango,unripe,1090,fruit,after_cleaning
banana,unripe,1022,fruit,after_cleaning
mango,rotten,1022,fruit,after_cleaning
orange,unripe,927,fruit,after_cleaning
mango,ripe,887,fruit,after_cleaning
orange,rotten,885,fruit,after_cleaning
chili,unripe,1168,vegetable,after_cleaning
tomato,ripe,1060,vegetable,after_cleaning
paprika,rotten,853,vegetable,after_cleaning
tomato,unripe,799,vegetable,after_cleaning
paprika,unripe,792,vegetable,after_cleaning
chili,rotten,787,vegetable,after_cleaning
paprika,ripe,786,vegetable,after_cleaning
chili,ripe,774,vegetable,after_cleaning
tomato,rotten,752,vegetable,after_cleaning
