item,condition,count,source,label
banana,ripe,1203,fruit,banana_ripe
banana,rotten,1201,fruit,banana_rotten
orange,ripe,1178,fruit,orange_ripe
mango,rotten,1134,fruit,mango_rotten
mango,unripe,1126,fruit,mango_unripe
banana,unripe,1059,fruit,banana_unripe
orange,unripe,956,fruit,orange_unripe
mango,ripe,947,fruit,mango_ripe
orange,rotten,912,fruit,orange_rotten
chili,unripe,1179,vegetable,chili_unripe
tomato,ripe,1110,vegetable,tomato_ripe
paprika,rotten,1082,vegetable,paprika_rotten
paprika,unripe,902,vegetable,paprika_unripe
paprika,ripe,879,vegetable,paprika_ripe
tomato,unripe,876,vegetable,tomato_unripe
chili,ripe,847,vegetable,chili_ripe
chili,rotten,800,vegetable,chili_rotten
tomato,rotten,784,vegetable,tomato_rotten
