condition,gr_ratio,hue_mean,sat_mean,lbp_std
ripe,0.9726743195620133,9.2563,36.2329,0.2002494643987345
ripe,0.9701565811234545,7.7467,33.6751,0.20168590925462432
ripe,0.9880118227223148,7.4196,25.0413,0.21770960932058217
ripe,0.944435748540231,19.2363,53.5195,0.13577793633839363
ripe,0.9877346108383324,5.6164,25.0066,0.22474187858496295
ripe,0.9658455537889997,10.2986,42.4221,0.1448809373099232
ripe,0.9590710389210829,23.9008,41.4283,0.032453720892824466
ripe,0.9642499430766902,15.7772,30.7321,0.13228934196109643
ripe,1.0063802446063854,83.1701,37.2702,0.04738510313960423
ripe,0.963160732331326,31.3343,37.5775,0.033477007031332086
ripe,0.9612260389076972,26.3291,45.4297,0.03491801826788207
ripe,0.958237192618987,20.6047,68.5655,0.10079429546342443
ripe,0.9837032784477479,7.2997,17.5004,0.22056945389212404
ripe,0.9635747363376282,26.9372,33.0139,0.10017210189465485
ripe,0.9494579557123025,15.065,57.9079,0.12150283123058249
ripe,1.0766409869572062,87.3512,96.07,0.03767930466072927
ripe,0.9714185265975841,25.3915,35.2283,0.03482335422898643
ripe,0.991481720611564,4.2715,20.6775,0.23387386769166965
ripe,1.0211347915088005,87.3123,67.09,0.045188427717631444
ripe,0.943107405522745,9.8141,46.0819,0.15077166841105652
ripe,1.0288545287190298,87.6706,63.0898,0.06145886428534586
ripe,0.9668877492875441,7.9257,35.3722,0.19608813322664348
ripe,0.9896562773359017,3.3966,17.9305,0.2465279902725952
ripe,0.970977751507626,9.7468,34.0841,0.19103720054664997
ripe,1.004929609872795,90.4272,34.4548,0.0720879324086956
ripe,0.981552832555684,4.1132,20.1696,0.23609748407988507
ripe,0.960341570514201,39.3052,45.5591,0.03408163728120596
ripe,0.9763736033215562,8.5008,30.2011,0.19937941717250948
ripe,0.9584537482307784,26.33,46.8693,0.03310148032612527
ripe,0.9840794823926081,3.5435,19.7381,0.2450732992147203
ripe,0.9748536500024001,28.4427,23.3431,0.11498759931990742
ripe,1.0065436934619925,82.8771,40.8399,0.04939738859000523
ripe,1.032626637491579,85.8397,70.4769,0.04655890891726796
